affiliation_or_institution,faculty_count
Universidade de Lisboa,306
Carnegie Mellon University,271
Shanghai Jiao Tong University,246
Georgia Institute of Technology,242
Tsinghua University,237
Peking University,220
UFPE,206
Nanjing University,206
Univ. of California - San Diego,190
University of Edinburgh,187
Monash University,185
UESTC,178
Zhejiang University,175
Univ. of Illinois at Urbana-Champaign,166
University of Melbourne,161
University of Toronto,160
University of Waterloo,160
Massachusetts Inst. of Technology,158
Nanyang Technological University,156
Northeastern University,154
KAIST,154
University of Michigan,153
TU Delft,152
Shenzhen University,149
Univ. of Maryland - College Park,148
Indiana University,147
CRIStAL,145
Technion,141
Cornell University,140
Nankai University,138
CUNY,137
Univ. of California - Berkeley,135
Rochester Inst. of Technology,134
Seoul National University,132
New York University,130
University of Wisconsin - Madison,129
Wuhan University,128
University College London,126
TU Wien,125
Johns Hopkins University,124
University of Central Florida,123
Korea University,123
Harbin Institute of Technology,123
TU Munich,120
Manipal Academy of Higher Education,119
Chalmers/GU,119
University of A Coruña,119
Queen's University Belfast,119
University of Copenhagen,119
Virginia Tech,118
