cohort,activity,country_known,n_academic,n_non_academic,non_per_aca,common_support
early,elite,tagged,121,196,1.6,yes
early,elite,untagged,0,150,150.0,no
early,high,tagged,127,535,4.2,yes
early,high,untagged,10,997,99.7,yes
early,low,tagged,82,367,4.5,yes
early,low,untagged,1,11891,11891.0,no
early,mid,tagged,86,509,5.9,yes
early,mid,untagged,7,2599,371.3,yes
mid,elite,tagged,185,370,2.0,yes
mid,elite,untagged,0,102,102.0,no
mid,high,tagged,530,1718,3.2,yes
mid,high,untagged,17,2210,130.0,yes
mid,low,tagged,853,2836,3.3,yes
mid,low,untagged,33,83114,2518.6,yes
mid,mid,tagged,679,2291,3.4,yes
mid,mid,untagged,35,11073,316.4,yes
recent,elite,tagged,156,310,2.0,yes
recent,elite,untagged,0,78,78.0,no
recent,high,tagged,643,1957,3.0,yes
recent,high,untagged,9,1697,188.6,yes
recent,low,tagged,1906,7019,3.7,yes
recent,low,untagged,83,150882,1817.9,yes
recent,mid,tagged,1070,3681,3.4,yes
recent,mid,untagged,41,12124,295.7,yes
