iso2,country,source,vintage_year,pattern,inclusion_tier,n_unique_teams,total_appearances,top1_team_id,top1_team_name,top1_appearances,top1_share,top1_top10_count,top1_top10_rate,top2_team_id,top2_team_name,top3_team_id,top3_team_name,top3_share,hhi_all_teams,effective_team_count,n_teams_gt_5pct,top10_rate_full,performance_composite_pct_full,divergence_performance_full,top10_rate_minus_top1,performance_composite_pct_minus_top1,divergence_performance_minus_top1,delta_divergence_top1,top10_rate_minus_top3,divergence_performance_minus_top3,notes
AR,Argentina,GCI,2017,positive,main,10,65,2003,SYPER,31,0.4769,10,0.3226,27751,Cumbancha,51825,Pastafrola,0.8615,0.3245,3.08,3,0.2154,87.88,22.93,0.1176,38.78,-26.17,-49.1,0.0,-42.5,
AR,Argentina,GCI,2020,positive,main,7,67,2003,SYPER,42,0.6269,12,0.2857,51825,Pastafrola,27751,Cumbancha,0.8358,0.4226,2.37,4,0.3284,67.74,28.27,0.4,57.5,18.03,-10.24,0.2727,13.03,
AR,Argentina,GCI,2024,positive,main,9,42,2003,SYPER,18,0.4286,7,0.3889,39905,p0mb3r0,27751,Cumbancha,0.7857,0.2789,3.59,3,0.2143,51.72,29.67,0.0833,7.32,-14.73,-44.4,0.0,-0.1,
CZ,Czechia,GCI,2017,positive,main,14,64,52456,Martin005,19,0.2969,0,0.0,14971,LC,42816,TipTil,0.5938,0.1572,6.36,5,0.0938,36.36,-45.08,0.1333,24.49,-56.95,-11.87,0.1923,-34.5,
CZ,Czechia,GCI,2020,positive,main,11,168,66276,fearless,61,0.3631,38,0.623,60365,stratoteam,65727,Czech Cyber Team,0.6131,0.1903,5.25,7,0.3333,85.48,31.53,0.1682,17.5,-36.45,-67.98,0.1846,-3.95,
CZ,Czechia,GCI,2024,positive,main,9,74,65727,Czech Cyber Team,29,0.3919,16,0.5517,66276,fearless,36642,generic team name,0.8649,0.302,3.31,3,0.4595,98.28,29.05,0.4,80.49,11.26,-17.79,0.0,-69.23,
MY,Malaysia,GCI,2017,negative,main,12,61,25519,pewpew,17,0.2787,0,0.0,3336,silent,576,Sentinel,0.5738,0.1535,6.52,6,0.0492,9.09,-89.88,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
MY,Malaysia,GCI,2020,negative,main,13,101,67702,SKR,71,0.703,15,0.2113,20245,ayam,25519,pewpew,0.8119,0.5046,1.98,2,0.1584,50.0,-44.74,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
MY,Malaysia,GCI,2024,negative,main,14,59,19905,commander,12,0.2034,1,0.0833,14692,WW,25519,pewpew,0.5085,0.1175,8.51,9,0.0169,8.62,-79.84,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
SA,Saudi Arabia,GCI,2017,negative,main,11,55,5603,noobs,26,0.4727,3,0.1154,9349,potato,20535,Haboob,0.7273,0.2681,3.73,4,0.0909,24.24,-50.5,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
SA,Saudi Arabia,GCI,2020,negative,main,9,77,5603,noobs,29,0.3766,0,0.0,9349,potato,7199,Shadows,0.6623,0.2086,4.79,6,0.0519,8.06,-90.95,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
SA,Saudi Arabia,GCI,2024,negative,main,10,115,5603,noobs,39,0.3391,0,0.0,9349,potato,7199,Shadows,0.7391,0.2207,4.53,5,0.0609,12.93,-75.53,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
TH,Thailand,GCI,2017,negative,main,24,270,35597,Pwn Leak,75,0.2778,3,0.04,9817,DiGIMON,44085,P@Ge2mE,0.4593,0.1184,8.45,6,0.0667,19.7,-68.44,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
TH,Thailand,GCI,2020,negative,main,17,248,44085,P@Ge2mE,105,0.4234,0,0.0,35597,Pwn Leak,45033,page2me,0.6815,0.2273,4.4,5,0.0202,1.61,-66.81,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
TH,Thailand,GCI,2024,negative,main,10,46,13280,ddd,23,0.5,1,0.0435,3324,Eiei,9817,DiGIMON,0.7391,0.2921,3.42,4,0.0652,12.93,-75.53,,,,,,,Negative-divergence outlier; after-removal not reported per pre-registered analysis plan
UA,Ukraine,GCI,2017,positive,main,18,400,762,dcua,210,0.525,154,0.7333,8115,JohnDoe,48982,AdrenSys,0.75,0.3137,3.19,4,0.49,100.0,32.99,0.2211,79.59,12.58,-20.41,0.21,-26.19,
UA,Ukraine,GCI,2020,positive,main,18,385,762,dcua,229,0.5948,94,0.4105,59699,BurpFiction,32602,dcua-school,0.7403,0.3718,2.69,4,0.3325,88.71,41.34,0.2179,57.5,10.13,-31.21,0.09,-37.37,
UA,Ukraine,GCI,2024,positive,main,12,201,762,dcua,144,0.7164,58,0.4028,1337,tmp,36228,Stout Boys,0.8507,0.5252,1.9,3,0.3383,89.66,40.43,0.1754,29.27,-19.96,-60.39,0.2,-24.84,
